user_id,top1,top5
1,56103,56103 51242 47728 37115 47737
2,47372,47372 40827 11757 11760 56777
3,55684,55684 3977 5583 44456 51490
4,48888,48888 30732 19452 30781 37517
5,24172,24172 24358 23131 50304 23135
6,51830,51830 12805 40827 11875 40524
8,14695,14695 45952 22976 46895 34709
9,46794,46794 47733 14359 40791 56164
10,55155,55155 43345 53671 55158 53126
11,51518,51518 37114 49913 50304 49875
14,30467,30467 30466 47032 48502 24908
15,40524,40524 10721 53704 27186 9769
18,56986,56986 51751 36903 21442 21697
19,12780,12780 19452 53475 3078 17405
20,52474,52474 46895 32423 51510 33126
23,40827,40827 49476 39643 11757 30193
25,37906,37906 37777 43793 40841 39503
26,55311,55311 55238 45885 40827 54820
28,10571,10571 8245 24172 42077 11327
29,36927,36927 30466 54277 24336 13097
30,36766,36766 17174 13043 36768 33294
31,23118,23118 7852 30466 13679 28307
32,58163,58163 58166 29368 40927 47009
33,54300,54300 54796 53582 53819 53674
34,9386,9386 21740 18882 7500 14175
35,56010,56010 48575 44753 48615 52916
36,11760,11760 40827 49468 11757 50582
37,54717,54717 49396 43124 42587 43260
41,30738,30738 33868 30742 30820 47032
42,49713,49713 10802 49707 11812 11892
43,42337,42337 3941 44721 21422 50184
45,30934,30934 45042 47372 40338 53074
48,51773,51773 54426 46997 51853 54717
49,46502,46502 17965 36627 46106 54646
50,45590,45590 45592 45266 45167 45655
51,54755,54755 49713 48512 54276 23118
52,24172,24172 52471 22348 37751 37569
53,51920,51920 37115 47728 51918 47686
55,45885,45885 24961 45866 24969 24973
56,52157,52157 54300 48370 52156 54609
57,51572,51572 2026 38062 31570 50305
58,30751,30751 31624 30908 29756 28370
62,46229,46229 44128 28201 28202 43510
63,9196,9196 47372 4253 40827 4252
64,30466,30466 24339 30052 24364 24363
65,40827,40827 39753 52922 30275 48888
66,6148,6148 30114 4982 55787 4909
67,50556,50556 30817 31105 30773 51813
68,42006,42006 48888 53320 38391 24172
69,37061,37061 51151 48894 54276 52420
70,52471,52471 53106 54362 51813 53726
71,33168,33168 37114 30970 56103 40707
72,51934,51934 51928 24544 21718 24343
73,37517,37517 47372 11209 34086 33895
75,25563,25563 24172 57128 8932 45885
76,49468,49468 16117 40827 14110 14364
80,44479,44479 17321 44095 38062 44373
81,53661,53661 52149 30692 52130 31155
82,47728,47728 48158 13097 23013 56086
83,36684,36684 36618 36670 37414 39002
84,51177,51177 6517 3941 24908 4181
86,48099,48099 47474 51026 35515 19955
90,21913,21913 52841 41623 33146 30055
91,52844,52844 51143 54742 2026 54276
92,12920,12920 40827 12639 15449 48888
93,40760,40760 12762 39503 51563 43772
95,36766,36766 14364 36768 45952 47711
96,52458,52458 3294 45476 54625 52726
97,45885,45885 14110 14058 12477 46104
99,48502,48502 56086 54276 49533 56764
100,52743,52743 54791 53557 52873 51563
102,56860,56860 28639 28637 56960 28594
104,45917,45917 50528 51796 46451 41373
106,40760,40760 47372 46160 44438 49062
107,34772,34772 39930 48499 2674 39528
108,46565,46565 40210 9335 17321 37364
110,19452,19452 27268 56910 27003 24858
111,55158,55158 20801 55156 57034 45885
113,46794,46794 33534 57585 46545 36043
114,40592,40592 40760 40401 34745 40243
115,16280,16280 21253 54384 14889 53050
116,15849,15849 52897 8380 57162 57105
117,52100,52100 52252 53050 40949 2036
119,52597,52597 52585 53268 51197 55169
120,9335,9335 7242 49468 10640 47438
121,19465,19465 56303 56878 57219 57320
123,37569,37569 42396 51542 24157 41867
124,51518,51518 56103 51853 51813 37115
125,51540,51540 40827 13097 10640 49468
126,36347,36347 36954 36877 35161 58405
127,51773,51773 51652 49265 49214 49264
128,1379,1379 1565 46794 48449 47675
130,37777,37777 41361 45493 38940 40760
131,12780,12780 10640 40827 39696 9335
132,47372,47372 51177 49940 48592 48747
134,49468,49468 8245 40827 30193 7241
137,55317,55317 51813 9664 54385 51833
139,40243,40243 39105 36208 52840 45598
