user_id,top1,top5
1,56103,56103 56051 56719 56777 47793
2,56434,56434 47728 56103 56084 52735
3,49773,49773 52824 52841 52937 50489
4,32136,32136 30052 32167 30713 31607
5,52537,52537 40796 46525 38513 56389
6,13852,13852 12852 12639 11396 10598
8,40697,40697 39108 39213 40696 32518
9,51356,51356 54362 51918 51594 51655
10,58161,58161 55563 51918 53718 55796
11,37601,37601 38062 37569 38785 39074
14,58266,58266 58368 58258 58225 58311
15,58221,58221 57487 56022 46565 57497
18,52879,52879 57240 57311 57261 56848
19,39130,39130 38920 38387 39391 40524
20,37501,37501 38062 39579 37517 37121
23,55419,55419 50489 51490 54254 48454
25,39112,39112 40080 39503 39072 38820
26,52879,52879 58035 57240 52170 53954
28,46220,46220 46385 46289 46232 46261
29,37343,37343 50607 38471 31050 55254
30,36841,36841 36940 34103 36941 33246
31,56598,56598 56793 56685 56595 56625
32,38835,38835 38956 47098 39930 38989
33,57921,57921 57702 51049 51110 54907
34,55188,55188 55126 52251 53367 54499
35,55932,55932 55934 55396 55933 51805
36,54362,54362 51594 50733 50441 53714
37,42577,42577 43226 42997 42580 44809
41,37511,37511 39909 37300 38649 38647
42,40524,40524 38956 38989 37396 38494
43,54362,54362 58161 51321 58222 58248
45,58064,58064 50441 58077 55246 46220
48,50360,50360 54252 53598 54705 54836
49,58248,58248 51384 57260 57261 51353
50,43389,43389 44816 43408 42343 43939
51,56563,56563 56485 54532 52180 57378
52,52818,52818 53464 52726 51222 51846
53,57989,57989 57768 57857 57855 57752
55,54838,54838 47270 51222 51745 52414
56,51309,51309 54375 54007 55484 48872
57,57921,57921 54266 52879 56860 57685
58,24641,24641 24643 27962 24363 25558
62,46565,46565 6800 58206 38308 58221
63,58329,58329 58276 13730 58183 52311
64,38920,38920 37709 38919 38918 37777
65,52311,52311 51747 52231 48454 55243
66,58423,58423 58424 58422 48141 58517
67,54457,54457 52697 53727 53649 57315
68,54362,54362 57629 50440 51524 51572
69,50489,50489 51490 53039 52841 54420
70,53719,53719 52978 53718 52861 53714
71,38733,38733 39099 37517 38922 38062
72,39130,39130 38920 40524 38387 38919
73,56022,56022 46565 46572 46621 54590
75,39917,39917 46592 46625 46591 56164
76,52596,52596 55419 54834 52873 52444
80,46012,46012 44437 45001 44330 44399
81,53493,53493 52818 53360 51490 52158
82,52599,52599 52587 52592 47854 48079
83,37903,37903 37901 38840 38733 40097
84,50457,50457 51520 55155 52095 50400
86,56446,56446 47098 38733 37665 52873
90,39130,39130 38920 40524 39391 37869
91,53035,53035 57716 57847 51511 57857
92,46565,46565 46571 46572 46583 46354
93,38835,38835 39112 40780 40800 40550
95,56103,56103 56719 56777 52879 47793
96,58456,58456 47372 58463 55562 51250
97,43795,43795 43760 40743 41551 41284
99,54768,54768 54875 54457 55171 54716
100,54716,54716 54768 54778 55508 54846
102,30467,30467 30784 30466 30755 30615
104,58351,58351 58302 58301 58350 58318
106,48449,48449 56164 52471 55932 54246
107,55909,55909 55926 52537 55952 54893
108,50237,50237 46565 53612 55060 51379
110,57656,57656 57787 57770 57781 57789
111,52768,52768 52318 49342 48454 52916
113,54265,54265 53087 46216 47098 51497
114,55254,55254 55874 57366 55953 55556
115,58225,58225 58221 58230 58207 58222
116,43037,43037 42997 44190 42589 42606
117,38699,38699 31399 32517 32267 31048
119,50489,50489 51490 53039 52766 52873
120,54404,54404 54405 50489 50668 53954
121,58436,58436 58435 58434 58424 58518
123,50489,50489 49460 55419 54402 54245
124,52100,52100 53124 52873 54625 53796
125,49067,49067 49091 54292 49090 49081
126,55794,55794 55787 55835 55846 46544
127,52414,52414 55508 55609 52156 53587
128,51540,51540 55015 50615 51921 55233
130,46232,46232 46160 47098 40743 46425
131,52818,52818 52768 53361 53083 53360
132,49091,49091 58162 51537 54244 40796
134,8641,8641 6800 7501 20329 6398
137,46565,46565 19092 26794 58230 40791
139,58248,58248 18271 36033 57205 57206
141,38196,38196 38062 39579 37917 39917
147,50364,50364 49950 52165 51482 55563
148,58189,58189 58337 58249 58303 58304
150,52017,52017 58266 51934 58248 53143
151,47372,47372 56178 52311 51401 52768
152,51631,51631 52850 51622 51918 51642
153,47763,47763 56084 47372 56119 47371
154,35520,35520 33939 34487 33868 35527
155,51537,51537 55084 52100 52718 54094
156,41515,41515 45447 41373 41341 42343
157,47372,47372 56727 56650 55595 53152
158,51587,51587 54245 57315 53130 48141
159,55508,55508 53651 52753 55645 53557
161,56049,56049 56051 56103 56033 47769
165,52879,52879 56727 51137 32518 47764
166,19365,19365 17835 17843 8014 51309
167,52861,52861 53687 50395 50644 54610
171,57472,57472 55406 53404 52350 51278
173,50489,50489 53039 49913 49822 51146
174,52124,52124 54499 53152 52911 52311
175,52251,52251 52075 52072 51208 51890
176,57969,57969 58035 57921 57671 58036
177,50364,50364 51520 53719 53718 53714
178,57921,57921 57930 55155 57702 53661
181,52766,52766 51490 52170 48454 52414
182,52095,52095 51597 51918 53681 51813
183,53083,53083 53360 53490 55675 54215
184,54265,54265 55549 54468 53087 52919
185,28359,28359 28313 28367 28419 28605
186,47041,47041 46997 47033 47037 46899
187,46565,46565 46454 46436 46621 46492
188,37869,37869 40576 37777 38922 40338
189,55508,55508 52697 52922 54300 54717
193,57944,57944 58006 57668 55675 57700
194,46220,46220 46347 46172 46325 46179
195,57930,57930 57947 57984 57921 57954
196,39917,39917 38062 38817 38064 39368
198,48449,48449 51490 52211 54655 51622
199,58161,58161 46503 46544 58222 46459
200,54642,54642 53152 51516 52407 49415
201,58161,58161 58222 58174 58302 58176
204,57969,57969 57921 57930 57721 57947
205,47728,47728 53825 55684 52325 53827
207,55796,55796 55794 57980 51542 54362
209,37201,37201 39888 38196 37601 40340
210,54590,54590 52742 54591 20329 53612
211,50489,50489 49562 53117 52841 54716
212,52124,52124 54499 54717 51853 51813
213,52170,52170 55188 53725 51928 52398
214,53360,53360 52818 53361 53083 53493
215,57685,57685 57873 57917 57875 57874
218,52818,52818 48141 52726 52170 50360
219,55489,55489 57668 53588 57824 57620
221,57921,57921 57908 57930 57702 57969
222,58161,58161 51520 58174 50107 52850
223,39357,39357 37201 39321 38396 56243
225,58006,58006 58011 57668 58008 58007
227,58516,58516 58517 58424 58532 58502
230,57856,57856 57947 57806 57917 57984
231,55188,55188 54717 49181 54292 51161
232,47576,47576 57207 51363 56876 56878
233,43874,43874 43945 43882 43967 44048
234,55527,55527 40697 32523 55136 55135
235,40697,40697 55527 37154 37419 39613
236,52879,52879 56053 52385 47724 53588
237,57980,57980 57979 38062 38083 39917
238,58271,58271 58351 58414 58517 58269
240,41515,41515 41452 40791 43239 41436
241,58225,58225 58226 58224 58227 58329
242,54717,54717 55508 57921 57702 55645
245,54890,54890 50841 55508 53687 53557
247,58318,58318 58176 58301 58158 58402
248,55076,55076 55127 55123 53130 52100
249,58103,58103 58104 58102 58117 58079
252,53671,53671 51540 55188 52170 52398
253,40243,40243 37798 39888 38494 40145
255,51309,51309 51278 51242 56813 56020
256,55508,55508 55081 55609 53587 53557
257,51490,51490 50489 52818 52824 51486
258,51592,51592 51572 55167 51918 54362
260,52510,52510 47270 53829 53830 47431
261,55419,55419 53342 51388 52879 53475
262,48589,48589 52879 56103 53130 50886
264,57947,57947 57984 57918 57917 57854
265,38731,38731 38920 38732 40524 37943
266,38920,38920 37777 40524 38919 37709
267,48570,48570 48568 48576 48566 48564
269,47737,47737 56092 47735 47745 57522
