user_id,top1,top5
1,43719,43719 48478 25798 30048 14329
2,48478,48478 32132 57921 22109 24488
3,13607,13607 30751 24488 24410 30047
4,50432,50432 56018 49422 6135 48001
5,48478,48478 21658 49678 6135 8353
6,45952,45952 19479 48096 34782 27363
8,35462,35462 31631 51705 48478 31601
9,41873,41873 51518 51705 40800 50418
10,31601,31601 24410 6148 24355 6135
11,32122,32122 24488 48478 29769 3700
14,24488,24488 48478 32132 14577 13607
15,130,130 24410 30048 3926 52830
18,48478,48478 24488 45539 30751 24410
19,48001,48001 56018 50432 50676 31139
20,30048,30048 13607 28252 31601 32250
23,30048,30048 25085 24488 30467 42082
25,48478,48478 32122 47327 24488 3700
26,25085,25085 29769 33868 15251 50432
28,30048,30048 32132 24488 30467 30751
29,24414,24414 42294 4918 57062 48478
30,48478,48478 32132 24488 24414 30047
31,50432,50432 24488 51705 15251 17967
32,41873,41873 42770 50418 17804 24488
33,48478,48478 13607 31601 5960 29661
34,50418,50418 41873 35875 20770 2189
35,24488,24488 4918 48478 15251 19149
36,24488,24488 32122 42594 30048 25085
37,584,584 6148 31601 13607 23902
41,13607,13607 48478 52843 30048 30047
42,50432,50432 6135 24488 37443 56018
43,11354,11354 885 41873 24414 51705
45,30048,30048 48478 13 42082 31601
48,13607,13607 30751 30048 38064 32169
49,24488,24488 6615 54279 4936 29756
50,13607,13607 30751 30796 24488 25214
51,30048,30048 48478 13607 53770 11354
52,24488,24488 32122 28710 52843 29769
53,49422,49422 30617 51918 6135 16
55,50418,50418 2189 48001 45405 15181
56,50432,50432 48478 51705 24488 28710
57,37443,37443 24488 50432 6135 32122
58,7478,7478 6758 17804 50432 41873
62,41873,41873 13607 25732 31533 49995
63,50418,50418 35875 48478 17804 20770
64,3700,3700 24488 32122 14577 30751
65,36596,36596 37772 24414 36978 57921
66,48478,48478 24414 57921 4918 24488
67,51705,51705 37772 57921 23549 36978
68,31631,31631 1767 37772 25954 9034
69,48478,48478 14577 24410 3700 32122
70,50418,50418 24488 6758 6135 31601
71,6148,6148 24355 50432 38817 6135
72,13607,13607 6148 31601 38064 24488
73,24488,24488 50432 19447 51705 51918
75,50432,50432 48478 15251 24488 45405
76,37443,37443 57921 23549 3125 50432
80,23549,23549 6135 51705 48478 37443
81,37443,37443 22661 34405 3125 14329
82,50418,50418 51705 40253 50432 7321
83,31601,31601 30047 30678 30052 48478
84,6135,6135 48478 50418 50432 24488
86,24488,24488 48478 29022 21658 21631
90,41873,41873 50418 42294 51705 48478
91,38054,38054 30751 30048 224 48478
92,37443,37443 38745 24410 30548 50676
93,32122,32122 24488 42594 6000 52843
95,51705,51705 24488 36978 17804 6758
96,48478,48478 13607 52174 24488 37443
97,50432,50432 24488 41341 29769 6135
99,51705,51705 23549 48478 7321 58174
100,32132,32132 48478 51518 51486 31601
102,48478,48478 30048 32132 57921 24488
104,24488,24488 13607 48478 30751 24378
106,48478,48478 24488 3700 14577 32122
107,52843,52843 32132 24488 48604 8106
108,17804,17804 41873 51705 42770 50418
110,48478,48478 32132 51518 42594 29661
111,57921,57921 7321 4918 23549 50418
113,50432,50432 48478 6135 43719 29769
114,6148,6148 31631 50676 41341 47372
115,49422,49422 6135 38745 50676 52497
116,50432,50432 6135 24488 25589 38817
117,48478,48478 42294 37227 21658 14577
119,48478,48478 30048 30710 224 6135
120,48478,48478 57921 7321 30710 19365
121,50432,50432 28710 41341 6758 41873
123,24488,24488 48478 50432 6135 13607
124,32132,32132 8106 52843 22109 48604
125,51705,51705 31108 53967 58174 20770
126,30048,30048 31631 31601 32250 13607
127,50418,50418 41873 37443 51705 6135
128,48478,48478 42294 7321 51705 50418
130,48478,48478 48346 24488 42294 3700
131,31601,31601 30048 30617 5869 5960
132,48478,48478 32132 13607 8106 31601
134,30048,30048 31601 24466 48478 32132
137,52843,52843 41873 24488 13607 32122
139,48604,48604 22109 41873 19479 6381
141,42935,42935 31601 31533 44435 6158
147,25238,25238 43996 5986 13717 30048
148,48478,48478 21189 27194 3048 51177
150,13607,13607 39917 38064 31665 31090
151,50432,50432 51705 15251 24488 17967
152,50432,50432 6135 37443 51705 50418
153,50418,50418 25589 15251 48478 17967
154,24488,24488 50432 32122 3700 48001
155,41873,41873 17804 9034 50418 17798
156,24488,24488 41873 13607 14648 13587
157,51705,51705 37772 23549 17804 57921
158,30048,30048 31641 24363 29756 24488
159,30047,30047 32132 31601 13607 30048
161,37772,37772 24414 51705 11354 57921
165,51705,51705 48478 23549 57921 7321
166,30048,30048 31601 31631 56384 30564
167,32122,32122 42082 30048 29769 4982
171,22109,22109 19479 45952 41873 48604
173,24488,24488 13607 48478 15251 25589
174,48478,48478 24488 42294 38054 224
175,41873,41873 49393 50424 24488 9114
176,41873,41873 17804 51705 6758 50418
177,17804,17804 7478 50418 6758 41873
178,30001,30001 25732 24410 41873 31601
181,24414,24414 57062 30710 4918 7321
182,50432,50432 24488 6135 15251 28710
183,24488,24488 42594 32122 28710 3700
184,37443,37443 48478 14577 47100 6135
185,48478,48478 32122 24488 32132 30047
186,17967,17967 24488 25589 47327 50546
187,48478,48478 24488 29173 3700 13607
188,48478,48478 7321 42294 30710 6132
189,31601,31601 24488 32132 30048 50432
193,51546,51546 22109 32488 25214 52174
194,48478,48478 51705 23549 57921 32249
195,30047,30047 22241 30773 31624 48478
196,13607,13607 13587 24488 30047 54279
198,13607,13607 3294 48478 4918 30048
199,50432,50432 24488 15251 32122 29769
200,6138,6138 38064 13607 28252 5942
201,31601,31601 30751 6148 13607 30052
204,24488,24488 11354 24414 40883 51177
205,13607,13607 30751 24488 31601 6148
207,24488,24488 50432 28710 29769 6135
209,48478,48478 3700 42294 24488 14577
210,30048,30048 6000 24488 29769 13717
211,48478,48478 3700 14577 42711 31638
212,6135,6135 24488 6148 48478 50432
213,30048,30048 50432 25085 32122 29769
214,14577,14577 3700 32122 24488 37443
215,29769,29769 6135 31607 6148 24692
218,48478,48478 7321 57921 3294 53133
219,30048,30048 48478 43997 31601 32237
221,24488,24488 13607 30796 48478 32132
222,51705,51705 48478 50432 31601 6135
223,41873,41873 7321 48478 50418 51518
225,35875,35875 49393 34285 44135 58043
227,30048,30048 27170 31601 32132 584
230,57921,57921 32132 48478 7931 4066
231,50418,50418 51705 50432 6135 17804
232,50432,50432 45405 6135 56018 30423
233,50418,50418 48478 24488 15251 51705
234,31601,31601 6135 48478 24355 29769
235,51705,51705 41873 45536 12605 17804
236,30048,30048 48478 32132 14577 37443
237,30048,30048 50374 29769 4918 48478
