user_id,top1,top5
1,40483,40483 56435 15727 53644 16048
2,44546,44546 58351 15849 39108 15328
3,38265,38265 51813 12639 15849 10500
4,38062,38062 39099 32236 57700 31624
5,40979,40979 53002 58296 30545 40428
6,40878,40878 29419 58296 54668 47372
8,40878,40878 55364 29419 16444 51130
9,48015,48015 50255 48649 43323 54668
10,51646,51646 38265 15358 50844 52657
11,39099,39099 37564 47372 38940 57700
14,30048,30048 47372 24339 24334 23986
15,55459,55459 39108 15727 16048 48914
18,55828,55828 54668 51077 15328 40390
19,37564,37564 35867 51813 40878 55752
20,32569,32569 39625 35496 32006 51918
23,50233,50233 15328 47372 53002 48914
25,39099,39099 52879 37564 43760 38062
26,15328,15328 44546 15849 40165 37032
28,37564,37564 47372 30545 57753 30048
29,46851,46851 29769 39439 40878 38062
30,17077,17077 58351 46851 51130 27685
31,36175,36175 47372 12229 26429 37114
32,38265,38265 46895 40255 46651 55609
33,44515,44515 51683 52656 39099 49918
34,40878,40878 58296 29419 50911 15328
35,50304,50304 37114 58158 40120 43760
36,57753,57753 15849 15449 53399 15328
37,40815,40815 55648 56193 39625 37636
41,39625,39625 32006 39439 41055 38062
42,40979,40979 52428 57569 40878 39130
43,58296,58296 55527 54668 40878 15328
45,46895,46895 40791 55007 39099 38085
48,56360,56360 39099 54809 46895 57289
49,37636,37636 15727 15849 56435 55673
50,42373,42373 45592 42619 42587 45590
51,52879,52879 33214 39778 51671 57700
52,57753,57753 52823 53601 53002 15328
53,26903,26903 38265 46651 55007 54668
55,44546,44546 15328 53002 46610 15849
56,47372,47372 33118 52735 37114 38062
57,47372,47372 32257 32132 30732 43760
58,47474,47474 30048 47473 47496 57753
62,41765,41765 27262 41164 30048 35813
63,15328,15328 44546 35353 40878 26903
64,47372,47372 30048 37564 51130 23995
65,15328,15328 49918 32929 44546 37564
66,44143,44143 46937 29328 28332 21570
67,47337,47337 49918 49900 44334 54262
68,50233,50233 55546 58141 56315 33130
69,32284,32284 54668 53002 54262 39620
70,56365,56365 51486 46895 40279 37114
71,38062,38062 38922 38967 38054 32222
72,37564,37564 47372 37114 57700 39014
73,30048,30048 49918 32569 12305 48649
75,42945,42945 49918 4305 4274 41164
76,15328,15328 40165 44546 50233 3507
80,30048,30048 30732 26965 47372 41896
81,54668,54668 32929 30545 58296 58379
82,37114,37114 56229 47704 47372 56165
83,55828,55828 52879 38265 54668 40255
84,55828,55828 54668 55609 48914 56846
86,15849,15849 58227 12305 54668 53711
90,37564,37564 57700 56198 55828 39964
91,38265,38265 45694 54668 15849 38085
92,38085,38085 38265 54668 30048 40878
93,54668,54668 58351 47388 54908 47372
95,15849,15849 16048 15727 54591 58296
96,54668,54668 40255 51813 56360 54410
97,53002,53002 35353 50233 40165 44546
99,54668,54668 52879 40060 55609 56360
100,38265,38265 49097 48649 55844 53661
102,40791,40791 46895 42391 29756 30048
104,56360,56360 51077 57764 54668 54262
106,48914,48914 55609 49918 52879 55632
107,16048,16048 55459 53931 58296 15449
108,52818,52818 41822 52738 39368 36175
110,39099,39099 37564 44334 39439 38940
111,15328,15328 15449 54668 32929 58296
113,46545,46545 37114 39718 48914 38062
114,40255,40255 55752 52122 55609 56813
115,16048,16048 54591 56435 15849 12305
116,41360,41360 39099 50365 55603 40791
117,53726,53726 40340 48649 53725 32017
119,52657,52657 41360 39099 44334 54245
120,52823,52823 47372 49918 15328 32929
121,15849,15849 55459 39108 15449 38085
123,53002,53002 55676 48649 56329 58351
124,54668,54668 53661 38062 56846 54828
125,53931,53931 15849 16048 57569 58296
126,49918,49918 45544 44143 53842 57727
127,51481,51481 51813 38062 52721 54778
128,57782,57782 56360 51813 52879 55603
130,52879,52879 40165 39108 55609 46610
131,55828,55828 26903 15328 54668 15449
132,55609,55609 54254 40255 56053 58379
134,15328,15328 35353 15849 53002 46610
137,46895,46895 43334 43390 16359 53726
139,40255,40255 53828 52879 51918 39014
141,30732,30732 38062 37114 35496 37121
147,32284,32284 45694 56846 54668 56469
148,56329,56329 16048 58351 39108 44546
150,38265,38265 52657 35905 39099 56198
151,15328,15328 44546 45885 40878 26262
152,57782,57782 55546 55603 55040 48914
153,35905,35905 47372 55752 43760 49396
154,35353,35353 56329 44546 33214 48914
155,47372,47372 37564 49918 12980 57700
156,41360,41360 32017 37615 31624 32132
157,23549,23549 39108 15849 46895 17461
158,58351,58351 56329 54668 55007 57764
159,55508,55508 56469 56360 46895 54749
161,54668,54668 32929 54886 43760 30545
165,58296,58296 15849 58351 39888 52428
166,40878,40878 51130 16048 44546 39888
167,54262,54262 50583 51077 40815 53766
171,12639,12639 37114 56435 48160 56564
173,54668,54668 52309 58158 54819 57855
174,49918,49918 47372 37124 49820 51916
175,37114,37114 48914 48484 53726 52130
176,54668,54668 3507 32284 58296 51077
177,46895,46895 48649 55609 53766 56360
178,46895,46895 56360 38820 32787 48452
181,44334,44334 38062 49138 53842 45544
182,39099,39099 55040 55603 52721 51077
183,38265,38265 55828 37564 44334 53766
184,44334,44334 49574 53766 49348 55603
185,30048,30048 28368 28564 32132 30732
186,57205,57205 15849 57242 37201 37636
187,40060,40060 37564 27268 23314 38554
188,39108,39108 55459 15849 58351 37564
189,38265,38265 46895 55007 46651 54668
193,53644,53644 10640 38643 57502 37114
