user_id,top1,top5
0,929,929 1194 800 1008 319
1,3732,3732 5936 3694 3384 2387
2,212,212 224 137 247 170
3,943,943 817 724 914 702
4,5195,5195 2421 6698 4000 3465
5,5279,5279 5285 3073 3952 3732
6,2240,2240 7034 6708 6352 3071
7,1948,1948 2402 1680 2874 2558
8,1029,1029 1309 1135 1612 1237
9,1576,1576 1219 1186 982 1919
10,549,549 507 1671 1020 397
11,659,659 491 639 636 294
12,2534,2534 6442 5577 3333 5367
13,2245,2245 1836 4952 2675 3073
14,5581,5581 3243 2641 5879 344
15,7021,7021 7241 8877 9472 8945
16,1991,1991 1187 1704 2165 2219
17,2232,2232 3186 1237 1671 1977
18,3580,3580 1796 4216 2925 2343
19,3712,3712 3222 6134 6560 5599
20,8335,8335 7021 7241 9472 8945
21,5561,5561 3192 3461 5184 4030
22,6380,6380 4175 7239 5725 5195
23,1844,1844 1004 1183 1641 661
24,8335,8335 7241 7021 5729 5317
25,4519,4519 4353 2448 6190 3910
26,8019,8019 6032 5819 6752 4238
27,1039,1039 1194 992 1008 1000
28,429,429 337 628 466 656
29,200,200 188 248 164 123
30,1399,1399 1836 1994 1490 1769
31,215,215 200 309 248 337
32,5195,5195 3992 6380 4175 5725
33,2999,2999 3199 3358 2935 2717
34,1639,1639 2004 923 5446 2321
35,2936,2936 2759 4074 1885 1198
36,4238,4238 5662 5577 6032 6442
37,4474,4474 8335 2520 7241 7021
38,5900,5900 6752 9033 3669 6061
39,6442,6442 7198 5577 5662 7358
40,1412,1412 1053 3423 2292 2376
41,7021,7021 9472 7241 8945 8455
42,6032,6032 4968 5662 6442 4872
43,677,677 800 436 835 672
44,2520,2520 1505 4474 2547 3408
45,1384,1384 1186 1399 1919 672
46,6380,6380 4177 5737 6792 6442
47,4474,4474 2418 4530 1852 3376
48,4238,4238 2534 2651 3480 2738
49,3194,3194 8658 1872 8566 1556
50,2460,2460 4607 8274 1277 1917
51,8361,8361 6032 4968 6442 9003
52,8335,8335 2520 7021 3912 7241
53,2306,2306 2036 1785 2771 1739
54,4519,4519 4353 2448 1135 3194
55,2036,2036 4238 5367 2306 5577
56,3992,3992 3208 1739 4546 2045
57,1612,1612 2418 4474 2520 1269
58,8335,8335 7021 7241 5729 5317
59,1919,1919 1576 1194 1384 1461
60,597,597 561 861 564 1399
61,2925,2925 4474 2418 2558 1612
62,8335,8335 7021 8945 8877 8455
63,6698,6698 5195 7093 6693 5421
64,212,212 224 322 283 179
65,4474,4474 8335 7241 7021 5729
66,800,800 696 992 481 929
67,4474,4474 7021 7241 8877 8455
68,6752,6752 6516 5900 4960 5752
69,1796,1796 1014 322 484 1238
70,6032,6032 5662 4238 6442 4968
71,3992,3992 3907 3333 2771 3208
72,5434,5434 5274 3784 3180 1796
73,2520,2520 707 4474 5129 212
74,4960,4960 5662 5577 4000 4385
75,672,672 1612 1194 800 1384
76,8335,8335 7241 2520 4865 4530
77,2418,2418 3912 2520 3376 4530
78,533,533 2232 1855 549 1569
79,4474,4474 8335 2520 7241 3376
80,4952,4952 6061 3732 5316 4802
81,6774,6774 4074 5397 6845 3081
82,5491,5491 5600 7416 2695 5142
83,4238,4238 2534 2651 2738 3480
84,2656,2656 1246 962 814 1090
85,4474,4474 8877 212 628 429
86,7131,7131 8821 8300 7100 5693
87,2533,2533 2232 2088 2273 4393
88,2952,2952 1135 1280 1612 1556
89,1576,1576 1219 2738 1186 2534
90,4474,4474 2520 2901 3369 3376
91,2999,2999 3199 3358 3546 3653
92,5884,5884 3674 6316 3630 4161
93,8335,8335 2520 5729 7241 7021
94,1194,1194 1008 1270 1384 835
95,40,40 152 154 196 50
96,6442,6442 6032 4238 8019 8361
97,4861,4861 6316 6232 5055 5352
98,2306,2306 2036 1785 2534 3256
99,4474,4474 7241 7021 5729 8877
100,1008,1008 929 1270 1576 1186
101,5139,5139 2111 1452 1670 5367
102,6442,6442 5577 6032 5662 7358
103,1836,1836 1399 4497 1681 2633
104,3477,3477 2630 3473 2517 6396
105,2165,2165 1576 3732 2894 2059
106,5195,5195 4616 4175 7239 5725
107,1029,1029 696 800 1135 929
108,2558,2558 3702 3186 5145 5314
109,8335,8335 7197 8455 7241 9472
110,6752,6752 3340 7224 5900 9033
111,6190,6190 3186 4519 5145 4353
112,7382,7382 8782 154 5071 1763
113,4474,4474 8335 7241 8455 5317
114,1185,1185 976 934 1356 878
115,1796,1796 2343 2558 3953 4762
116,8335,8335 7021 5729 9472 8945
117,6442,6442 4238 6032 5577 7358
118,6698,6698 3992 4110 6380 4177
119,8335,8335 7021 9472 8455 8877
120,5577,5577 4175 6380 6698 4562
121,4474,4474 2418 4107 2520 2925
122,1481,1481 1739 1803 1537 2045
123,2999,2999 3461 3653 3730 2935
124,188,188 306 200 191 344
125,5936,5936 9003 6061 5663 3384
126,224,224 232 130 211 117
127,2534,2534 2738 2059 1911 3073
128,4238,4238 5662 5577 3063 2787
129,319,319 289 317 532 800
130,4474,4474 93 94 124 2520
131,4525,4525 4019 5314 5145 4787
